Number of nodes = 104

1  3  0
2  2.89778  0.776457
3  2.59808  1.5
4  2.12132  2.12132
5  1.5  2.59808
6  0.776457  2.89778
7  1.83697e-16  3
8  3.71429  0
9  3.58772  0.961328
10  3.21667  1.85714
11  2.6264  2.6264
12  1.85714  3.21667
13  0.961328  3.58772
14  2.27434e-16  3.71429
15  4.42857  0
16  4.27767  1.1462
17  3.83526  2.21429
18  3.13147  3.13147
19  2.21429  3.83526
20  1.1462  4.27767
21  2.71172e-16  4.42857
22  5.14286  0
23  4.96762  1.33107
24  4.45384  2.57143
25  3.63655  3.63655
26  2.57143  4.45384
27  1.33107  4.96762
28  3.14909e-16  5.14286
29  5.85714  0
30  5.65757  1.51594
31  5.07243  2.92857
32  4.14163  4.14163
33  2.92857  5.07243
34  1.51594  5.65757
35  3.58647e-16  5.85714
36  6.57143  0
37  6.34751  1.70081
38  5.69102  3.28571
39  4.6467  4.6467
40  3.28571  5.69102
41  1.70081  6.34751
42  4.02384e-16  6.57143
43  7.28571  0
44  7.03746  1.88568
45  6.30961  3.64286
46  5.15178  5.15178
47  3.64286  6.30961
48  1.88568  7.03746
49  4.46121e-16  7.28571
50  8  0
51  7.72741  2.07055
52  6.9282  4
53  5.65685  5.65685
54  4  6.9282
55  2.07055  7.72741
56  4.89859e-16  8
57  0  10
58  2.07055  10
59  4  10
60  0  12
61  2.07055  12
62  4  12
63  0  14
64  2.07055  14
65  4  14
66  0  16
67  2.07055  16
68  4  16
69  0  18
70  2.07055  18
71  4  18
72  10  0
73  10  2.07055
74  10  4
75  13  0
76  13  2.07055
77  13  4
78  6.9282  5.65685
79  10  5.65685
80  13  5.65685
81  5.65685  6.9282
82  6.9282  6.9282
83  10  6.9282
84  13  6.9282
85  5.65685  10
86  6.9282  10
87  10  10
88  13  10
89  5.65685  12
90  6.9282  12
91  10  12
92  13  12
93  5.65685  14
94  6.9282  14
95  10  14
96  13  14
97  5.65685  16
98  6.9282  16
99  10  16
100  13  16
101  5.65685  18
102  6.9282  18
103  10  18
104  13  18
