Number of elements = 168

1  1  8  9
2  9  2  1
3  9  10  3
4  2  9  3
5  3  10  11
6  11  4  3
7  11  12  5
8  4  11  5
9  5  12  13
10  13  6  5
11  13  14  7
12  6  13  7
13  8  15  16
14  16  9  8
15  16  17  10
16  9  16  10
17  10  17  18
18  18  11  10
19  18  19  12
20  11  18  12
21  12  19  20
22  20  13  12
23  20  21  14
24  13  20  14
25  15  22  23
26  23  16  15
27  23  24  17
28  16  23  17
29  17  24  25
30  25  18  17
31  25  26  19
32  18  25  19
33  19  26  27
34  27  20  19
35  27  28  21
36  20  27  21
37  22  29  30
38  30  23  22
39  30  31  24
40  23  30  24
41  24  31  32
42  32  25  24
43  32  33  26
44  25  32  26
45  26  33  34
46  34  27  26
47  34  35  28
48  27  34  28
49  29  36  37
50  37  30  29
51  37  38  31
52  30  37  31
53  31  38  39
54  39  32  31
55  39  40  33
56  32  39  33
57  33  40  41
58  41  34  33
59  41  42  35
60  34  41  35
61  36  43  44
62  44  37  36
63  44  45  38
64  37  44  38
65  38  45  46
66  46  39  38
67  46  47  40
68  39  46  40
69  40  47  48
70  48  41  40
71  48  49  42
72  41  48  42
73  43  50  51
74  51  44  43
75  51  52  45
76  44  51  45
77  45  52  53
78  53  46  45
79  53  54  47
80  46  53  47
81  47  54  55
82  55  48  47
83  55  56  49
84  48  55  49
85  58  57  56
86  58  56  55
87  58  55  54
88  59  58  54
89  60  57  61
90  57  58  61
91  61  58  59
92  62  61  59
93  62  59  63
94  59  60  63
95  63  60  61
96  64  63  61
97  64  61  65
98  61  62  65
99  65  62  63
100  66  65  63
101  66  63  67
102  63  64  67
103  67  64  65
104  68  67  65
105  68  65  69
106  65  66  69
107  69  66  67
108  70  69  67
109  52  51  73
110  74  52  73
111  73  51  50
112  73  50  72
113  74  73  76
114  77  74  76
115  76  73  72
116  76  72  75
117  78  53  52
118  81  54  53
119  81  53  78
120  82  81  78
121  82  78  83
122  83  78  79
123  83  79  80
124  84  83  80
125  85  81  82
126  86  85  82
127  87  86  82
128  87  82  83
129  87  83  84
130  88  87  84
131  89  85  86
132  90  89  86
133  91  90  86
134  91  86  87
135  91  87  88
136  92  91  88
137  93  89  90
138  94  93  90
139  95  94  90
140  95  90  91
141  95  91  92
142  96  95  92
143  97  93  94
144  98  97  94
145  99  98  94
146  99  94  95
147  99  95  96
148  100  99  96
149  101  97  98
150  102  101  98
151  103  102  98
152  103  98  99
153  103  99  100
154  104  103  100
155  78  52  79
156  79  52  74
157  79  74  77
158  80  79  77
159  59  54  85
160  85  54  81
161  62  57  89
162  89  57  85
163  65  60  93
164  93  60  89
165  68  63  97
166  97  63  93
167  71  66  101
168  101  66  97
